country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10
Brazil,BR,2025-10-26,TV,6,Boots,Boots: Season 1,3
Brazil,BR,2025-10-26,TV,7,Lottie Dottie Chicken,Lottie Dottie Chicken: 2ª temporada,119
Brazil,BR,2025-10-26,TV,8,One-Punch Man,One-Punch Man: Season 3,2
Brazil,BR,2025-10-26,TV,9,Typhoon Family,Typhoon Family: Limited Series,2
Brazil,BR,2025-10-26,TV,10,Naruto Shippuden,Naruto Shippuden: Season 18,1
Brazil,BR,2025-10-19,TV,1,Old Money,Old Money: Season 1,2
Brazil,BR,2025-10-19,TV,2,No One Saw Us Leave,No One Saw Us Leave: Season 1,1
Brazil,BR,2025-10-19,TV,3,Boots,Boots: Season 1,2
Brazil,BR,2025-10-19,TV,4,Néro the Assassin,Néro the Assassin: Season 1,2
Brazil,BR,2025-10-19,TV,5,Monster: The Ed Gein Story,Monster: The Ed Gein Story: Season 1,3
Brazil,BR,2025-10-19,TV,6,One-Punch Man,One-Punch Man: Season 3,1
Brazil,BR,2025-10-19,TV,7,Romantics Anonymous,Romantics Anonymous: Season 1,1
Brazil,BR,2025-10-19,TV,8,Typhoon Family,Typhoon Family: Limited Series,1
Brazil,BR,2025-10-19,TV,9,"Genie, Make a Wish","Genie, Make a Wish: Season 1",3
Brazil,BR,2025-10-19,TV,10,Lottie Dottie Chicken,Lottie Dottie Chicken: 2ª temporada,118
Brazil,BR,2025-10-12,TV,1,Monster: The Ed Gein Story,Monster: The Ed Gein Story: Season 1,2
Brazil,BR,2025-10-12,TV,2,Néro the Assassin,Néro the Assassin: Season 1,1
Brazil,BR,2025-10-12,TV,3,"Genie, Make a Wish","Genie, Make a Wish: Season 1",2
Brazil,BR,2025-10-12,TV,4,Old Money,Old Money: Season 1,1
Brazil,BR,2025-10-12,TV,5,"Old Dog, New Tricks","Old Dog, New Tricks: Season 1",1
Brazil,BR,2025-10-12,TV,6,Wayward,Wayward: Limited Series,3
Brazil,BR,2025-10-12,TV,7,Boots,Boots: Season 1,1
Brazil,BR,2025-10-12,TV,8,The Guest,The Guest: Season 1,3
Brazil,BR,2025-10-12,TV,9,Lottie Dottie Chicken,Lottie Dottie Chicken: 2ª temporada,117
Brazil,BR,2025-10-12,TV,10,Billionaires' Bunker,Billionaires' Bunker: Season 1,4
Brazil,BR,2025-10-05,TV,1,Wayward,Wayward: Limited Series,2
Brazil,BR,2025-10-05,TV,2,Monster: The Ed Gein Story,Monster: The Ed Gein Story: Season 1,1
Brazil,BR,2025-10-05,TV,3,Dark Winds,Dark Winds: Season 1,1
Brazil,BR,2025-10-05,TV,4,Alice in Borderland,Alice in Borderland: Season 3,2
Brazil,BR,2025-10-05,TV,5,The Guest,The Guest: Season 1,2
Brazil,BR,2025-10-05,TV,6,Billionaires' Bunker,Billionaires' Bunker: Season 1,3
Brazil,BR,2025-10-05,TV,7,"Bon Appétit, Your Majesty","Bon Appétit, Your Majesty: Limited Series",7
Brazil,BR,2025-10-05,TV,8,"Genie, Make a Wish","Genie, Make a Wish: Season 1",1
Brazil,BR,2025-10-05,TV,9,Love Is Blind: Brazil,Love Is Blind: Brazil: Season 5,4
Brazil,BR,2025-10-05,TV,10,Lottie Dottie Chicken,Lottie Dottie Chicken: 2ª temporada,116
Brazil,BR,2025-09-28,TV,1,Billionaires' Bunker,Billionaires' Bunker: Season 1,2
Brazil,BR,2025-09-28,TV,2,Love Is Blind: Brazil,Love Is Blind: Brazil: Season 5,3
Brazil,BR,2025-09-28,TV,3,Alice in Borderland,Alice in Borderland: Season 3,1
Brazil,BR,2025-09-28,TV,4,"Bon Appétit, Your Majesty","Bon Appétit, Your Majesty: Limited Series",6
Brazil,BR,2025-09-28,TV,5,Wayward,Wayward: Limited Series,1
Brazil,BR,2025-09-28,TV,6,The Guest,The Guest: Season 1,1
Brazil,BR,2025-09-28,TV,7,Wednesday,Wednesday: Season 2,8
Brazil,BR,2025-09-28,TV,8,Lottie Dottie Chicken,Lottie Dottie Chicken: 2ª temporada,115
Brazil,BR,2025-09-28,TV,9,Beauty in Black,Beauty in Black: Season 2,3
Brazil,BR,2025-09-28,TV,10,House of Guinness,House of Guinness: Season 1,1
Brazil,BR,2025-09-21,TV,1,Love Is Blind: Brazil,Love Is Blind: Brazil: Season 5,2
Brazil,BR,2025-09-21,TV,2,"Bon Appétit, Your Majesty","Bon Appétit, Your Majesty: Limited Series",5
Brazil,BR,2025-09-21,TV,3,Wednesday,Wednesday: Season 2,7
Brazil,BR,2025-09-21,TV,4,Beauty in Black,Beauty in Black: Season 2,2
Brazil,BR,2025-09-21,TV,5,Billionaires' Bunker,Billionaires' Bunker: Season 1,1
Brazil,BR,2025-09-21,TV,6,Lottie Dottie Chicken,Lottie Dottie Chicken: 2ª temporada,114
Brazil,BR,2025-09-21,TV,7,My Life With the Walter Boys,My Life With the Walter Boys: Season 2,4
Brazil,BR,2025-09-21,TV,8,3 Palavrinhas,3 Palavrinhas: Season 1,1
Brazil,BR,2025-09-21,TV,9,Heartland,Heartland: Season 18,1
Brazil,BR,2025-09-21,TV,10,Beauty in Black,Beauty in Black: Season 1,4
Brazil,BR,2025-09-14,TV,1,Wednesday,Wednesday: Season 2,6
Brazil,BR,2025-09-14,TV,2,"Bon Appétit, Your Majesty","Bon Appétit, Your Majesty: Limited Series",4
Brazil,BR,2025-09-14,TV,3,Love Is Blind: Brazil,Love Is Blind: Brazil: Season 5,1
Brazil,BR,2025-09-14,TV,4,My Life With the Walter Boys,My Life With the Walter Boys: Season 2,3
Brazil,BR,2025-09-14,TV,5,Beauty in Black,Beauty in Black: Season 2,1
Brazil,BR,2025-09-14,TV,6,Beyond the Bar,Beyond the Bar: Limited Series,7
Brazil,BR,2025-09-14,TV,7,Rivers of Fate,Rivers of Fate: Limited Series,4
Brazil,BR,2025-09-14,TV,8,Wednesday,Wednesday: Season 1,18
Brazil,BR,2025-09-14,TV,9,The Fragrant Flower Blooms With Dignity,The Fragrant Flower Blooms With Dignity: Season 1,1
Brazil,BR,2025-09-14,TV,10,"Dr. Seuss’s Red Fish, Blue Fish","Dr. Seuss’s Red Fish, Blue Fish: Season 1",1
Brazil,BR,2025-09-07,TV,1,Wednesday,Wednesday: Season 2,5
Brazil,BR,2025-09-07,TV,2,Two Graves,Two Graves: Limited Series,2
Brazil,BR,2025-09-07,TV,3,My Life With the Walter Boys,My Life With the Walter Boys: Season 2,2
Brazil,BR,2025-09-07,TV,4,"Bon Appétit, Your Majesty","Bon Appétit, Your Majesty: Limited Series",3
Brazil,BR,2025-09-07,TV,5,Rivers of Fate,Rivers of Fate: Limited Series,3
Brazil,BR,2025-09-07,TV,6,Beyond the Bar,Beyond the Bar: Limited Series,6
Brazil,BR,2025-09-07,TV,7,My Life With the Walter Boys,My Life With the Walter Boys: Season 1,7
Brazil,BR,2025-09-07,TV,8,Hostage,Hostage: Limited Series,3
Brazil,BR,2025-09-07,TV,9,Lottie Dottie Chicken,Lottie Dottie Chicken: 2ª temporada,113
Brazil,BR,2025-09-07,TV,10,Wednesday,Wednesday: Season 1,17
Brazil,BR,2025-08-31,TV,1,Rivers of Fate,Rivers of Fate: Limited Series,2
Brazil,BR,2025-08-31,TV,2,"Bon Appétit, Your Majesty","Bon Appétit, Your Majesty: Limited Series",2
Brazil,BR,2025-08-31,TV,3,Two Graves,Two Graves: Limited Series,1
Brazil,BR,2025-08-31,TV,4,My Life With the Walter Boys,My Life With the Walter Boys: Season 2,1
Brazil,BR,2025-08-31,TV,5,Wednesday,Wednesday: Season 2,4
Brazil,BR,2025-08-31,TV,6,Hostage,Hostage: Limited Series,2
Brazil,BR,2025-08-31,TV,7,Beyond the Bar,Beyond the Bar: Limited Series,5
Brazil,BR,2025-08-31,TV,8,Lottie Dottie Chicken,Lottie Dottie Chicken: 2ª temporada,112
Brazil,BR,2025-08-31,TV,9,My Life With the Walter Boys,My Life With the Walter Boys: Season 1,6
Brazil,BR,2025-08-31,TV,10,Wednesday,Wednesday: Season 1,16
Brazil,BR,2025-08-24,TV,1,Rivers of Fate,Rivers of Fate: Limited Series,1
Brazil,BR,2025-08-24,TV,2,Wednesday,Wednesday: Season 2,3
Brazil,BR,2025-08-24,TV,3,Beyond the Bar,Beyond the Bar: Limited Series,4
Brazil,BR,2025-08-24,TV,4,"Bon Appétit, Your Majesty","Bon Appétit, Your Majesty: Limited Series",1
Brazil,BR,2025-08-24,TV,5,Hostage,Hostage: Limited Series,1
Brazil,BR,2025-08-24,TV,6,In the Mud,In the Mud: Season 1,2
Brazil,BR,2025-08-24,TV,7,The Chosen,The Chosen: Season 5,1
Brazil,BR,2025-08-24,TV,8,Wednesday,Wednesday: Season 1,15
Brazil,BR,2025-08-24,TV,9,Lottie Dottie Chicken,Lottie Dottie Chicken: 2ª temporada,111
Brazil,BR,2025-08-24,TV,10,Unspeakable Sins,Unspeakable Sins: Season 1,4
Brazil,BR,2025-08-17,TV,1,Wednesday,Wednesday: Season 2,2
Brazil,BR,2025-08-17,TV,2,Beyond the Bar,Beyond the Bar: Limited Series,3
Brazil,BR,2025-08-17,TV,3,Wednesday,Wednesday: Season 1,14
Brazil,BR,2025-08-17,TV,4,Unspeakable Sins,Unspeakable Sins: Season 1,3
Brazil,BR,2025-08-17,TV,5,In the Mud,In the Mud: Season 1,1
Brazil,BR,2025-08-17,TV,6,Young Millionaires,Young Millionaires: Season 1,1
Brazil,BR,2025-08-17,TV,7,El Chavo,El Chavo 1973,1
Brazil,BR,2025-08-17,TV,8,Lottie Dottie Chicken,Lottie Dottie Chicken: 2ª temporada,110
Brazil,BR,2025-08-17,TV,9,UNTAMED,UNTAMED: Season 1,5
Brazil,BR,2025-08-17,TV,10,DAN DA DAN,DAN DA DAN: Season 2,6
Brazil,BR,2025-08-10,TV,1,Wednesday,Wednesday: Season 2,1
Brazil,BR,2025-08-10,TV,2,Unspeakable Sins,Unspeakable Sins: Season 1,2
Brazil,BR,2025-08-10,TV,3,Beyond the Bar,Beyond the Bar: Limited Series,2
Brazil,BR,2025-08-10,TV,4,Wednesday,Wednesday: Season 1,13
Brazil,BR,2025-08-10,TV,5,Marked,Marked: Season 1,2
Brazil,BR,2025-08-10,TV,6,UNTAMED,UNTAMED: Season 1,4
Brazil,BR,2025-08-10,TV,7,Lottie Dottie Chicken,Lottie Dottie Chicken: 2ª temporada,109
